V1,V2,V3
i.55.4.5.001,0,0.046
i.55.4.5.007,0,0.107
i.55.4.5.024,0,0.054
i.55.4.5.025,0,0.046
i.55.4.5.026,0,0.018
i.55.4.5.029,0,0.018
i.55.4.6.003,0,0.016
i.55.4.6.007,0,0.044
i.55.4.6.008,0,0.084
i.55.4.6.009,0,0.084
i.55.4.6.010,0,0.048
i.55.4.6.013,0,0.042
i.55.4.7.001,0,0.043
i.55.4.7.002,0,0.04
i.55.4.7.006,0,0.072
i.55.4.7.007,1,0.074
i.55.4.7.010,0,0.044
i.55.4.7.027,1,0.087
i.55.4.7.028,0,0.042
i.55.4.7.030,0,0.015
i.55.4.7.032,0,0.015
i.55.4.8.007,0,0.016
i.55.4.8.010,0,0.054
i.55.4.8.013,0,0.095
i.55.4.8.016,0,0.045
i.55.4.8.018,0,0.033
i.55.4.8.022,0,0.058
i.55.4.8.024,0,0.104
i.55.4.9.011,1,0.12
i.55.4.9.012,0,0.05
i.55.4.9.013,0,0.019
i.55.4.9.015,0,0.037
i.55.4.9.017,4,0.119
i.55.4.9.018,0,0.017
i.55.4.9.020,0,0.08
i.55.4.9.022,2,0.085
i.55.4.9.023,0,0.016
i.55.7.101.003,0,0.016
i.55.7.102.003,0,0.048
i.55.7.102.004,0,0.025
i.55.7.103.001,0,0.003
i.55.7.104.001,0,0.044
i.55.7.104.013,0,0.39
i.55.7.104.016,0,0.101
i.55.7.106.001,0,0.056
i.55.7.107.011,0,0.003
i.55.7.108.001,0,0.005
i.55.7.108.004,0,0.006
i.55.7.108.005,0,0.006
i.55.7.111.002,0,0.079
i.55.7.112.012,0,0.112
i.55.7.112.017,0,0.235
i.55.7.112.019,0,0.104
i.55.7.112.021,0,0.017
i.55.7.116.001,0,0.003
i.55.7.120.001,0,0.141
i.55.7.128.001,0,0.039
i.55.7.129.004,1,0.054
i.55.7.129.008,0,0.03
i.55.7.130.001,0,0.017
i.55.7.134.005,0,0.142
i.55.7.136.001,0,0.031
i.55.7.136.004,0,0.006
i.55.7.137.001,0,0.077
i.55.7.138.001,0,0.017
i.55.7.138.006,0,0.017
i.55.7.139.001,0,0.016
i.55.7.139.007,0,0.017
i.55.7.140.005,0,0.044
i.55.7.149.002,0,0.018
i.43.4.1.001,0,0.033
i.43.4.1.002,0,0.088
i.43.4.1.006,0,0.098
i.43.4.1.008,0,0.215
i.43.4.1.010,0,0.095
i.43.4.1.012,0,0.086
i.43.4.1.017,0,0.046
i.43.4.1.018,1,0.047
i.43.4.1.026,0,0.02
i.43.4.1.027,0,0.187
i.43.4.1.031,0,0.06
i.43.4.10.001,0,0.031
i.43.4.10.003,0,0.042
i.43.4.103.001,0,0.044
i.43.4.103.004,0,0.083
i.43.4.103.006,0,0.083
i.43.4.107.001,1,0.064
i.43.4.11.001,0,0.07
i.43.4.11.003,0,0.03
i.43.4.11.004,0,0.03
i.43.4.11.005,0,0.041
i.43.4.11.006,0,0.04
i.43.4.111.001,0,0.04
i.43.4.115.001,0,0.07
i.43.4.115.004,0,0.047
i.43.4.115.005,0,0.21
i.43.4.115.010,0,0.178
i.43.4.12.016,0,0.057
i.43.4.12.017,0,0.048
i.43.4.12.018,0,0.046
i.43.4.12.019,0,0.047
i.43.4.13.002,0,0.079
i.43.4.13.004,0,0.016
i.43.4.13.008,0,0.062
i.43.4.14.001,0,0.017
i.43.4.14.004,0,0.091
i.43.4.15.001,0,0.04
i.43.4.15.008,0,0.031
i.43.4.15.010,0,0.042
i.43.4.15.014,0,0.083
i.43.4.15.017,0,0.076
i.43.4.16.010,0,0.029
i.43.4.16.011,0,0.151
i.43.4.16.015,0,0.041
i.43.4.16.017,0,0.04
i.43.4.17.003,0,0.039
i.43.4.17.004,0,0.075
i.43.4.17.005,1,0.108
i.43.4.18.001,0,0.032
i.43.4.18.006,0,0.061
i.43.4.19.005,0,0.077
i.43.4.19.006,0,0.04
i.43.4.2.001,0,0.054
i.43.4.2.016,0,0.095
i.43.4.2.018,0,0.044
i.43.4.2.019,0,0.082
i.43.4.2.022,0,0.017
i.43.4.2.023,0,0.017
i.43.4.2.025,0,0.043
i.43.4.2.033,0,0.147
i.43.4.2.036,0,0.017
i.43.7.92.004,0,0.041
i.43.4.2.039,0,0.084
i.43.4.2.040,0,0.018
i.43.4.23.009,0,0.065
i.43.4.24.005,0,0.011
i.43.4.25.001,0,0.062
i.43.4.25.005,0,0.059
i.43.4.25.011,0,0.042
i.43.4.25.014,0,0.031
i.43.4.25.016,0,0.042
i.43.4.25.019,0,0.123
i.43.4.25.022,0,0.125
i.43.4.26.002,0,0.029
i.43.4.26.003,0,0.103
i.43.4.3.001,0,0.059
