CRSP2_Unique_ID,Severe_Crashes,Area_Type,Context_Zone,Int_Type,Total_Entering_ADT,Cross_Product,Design_Type,Traffic_Control,Leg_Configuration,Major_Division_Configuration,Minor_Division_Configuration,Major_Surface_Type,Minor_Surface_Type,Alignment_Skew,Railroad_Crossing,Adjacent_Curve,Adjacent_Development,Street Parking,Lighting,Previous_Stop,Major_Speed_Limit,Minor_Speed_Limit,Flashers,Overhead_Signal,Left_Turn_Phasing_Maj,Left_Turn_Phasing_Min,Maj1_Lane_Config,Maj2_Lane_Config,Sidewalk,Refuge_Island,Ped_Crossing,Bike_Facility,Ped_Indicator,Transit_Adjacent,School_Crosswalk,Legs,Max_Lanes_Cross
610190,0,urban,commercial,intersection,11400,0,traditional,thru-stop,x,undivided,undivided,paved,paved,0,present,no,yes,no,yes,0,30,30,no,no,none,none,tt,tt,yes,no,yes,no,no,no,no,4,4
610196,0,urban,commercial,intersection,11400,0,traditional,signal,x,divided,undivided,paved,paved,0,none,yes,no,no,yes,0,45,40,no,yes,protected,permitted/protected,ltt,lttr,yes,yes,yes,no,yes,yes,no,4,4
610202,0,urban,commercial,intersection,15250,49290000,traditional,signal,x,other,undivided,paved,paved,0,none,no,yes,no,yes,0,30,30,no,yes,permitted,permitted,tt,ltr,yes,yes,yes,no,yes,yes,no,4,5
610208,2,urban,commercial,intersection,24600,0,traditional,signal,x,divided,divided,paved,paved,0,none,no,no,no,yes,0,30,30,no,yes,protected,protected,ltttr,lltttr,no,yes,yes,no,yes,no,no,4,4
610210,0,urban,commercial,intersection,8300,0,traditional,signal,x,divided,divided,paved,paved,0,none,no,yes,no,yes,0,30,30,no,yes,protected,permitted,llttr,lttr,no,yes,yes,no,yes,yes,no,4,5
610212,0,urban,commercial,intersection,3550,0,traditional,thru-stop,x,divided,divided,paved,paved,0,none,no,yes,no,yes,0,30,30,no,no,none,none,ltt,lltt,no,yes,yes,no,yes,yes,no,4,4
610216,0,suburban,residential,intersection,14200,20707500,traditional,signal,t,undivided,undivided,paved,paved,0,none,yes,no,no,yes,0,30,30,no,yes,permitted/protected,permitted,tt,tt,yes,no,yes,no,yes,yes,no,3,4
610226,0,urban,mixed use,intersection,27100,182880000,traditional,signal,x,divided,undivided,paved,paved,0,none,yes,yes,no,yes,0,30,30,no,yes,permitted/protected,permitted/protected,ltt,lttr,yes,yes,yes,no,yes,no,no,4,4
610238,0,suburban,mixed use,intersection,5600,0,traditional,signal,x,divided,divided,paved,paved,0,none,no,no,no,yes,0,45,45,no,yes,permitted/protected,permitted/protected,ltt,ltt,yes,no,yes,no,yes,no,no,4,3
610250,0,suburban,residential,intersection,1700,0,traditional,signal,x,divided,undivided,paved,paved,20,none,yes,no,no,yes,0,45,45,no,yes,permitted/protected,permitted/protected,lttr,ltt,yes,yes,yes,no,yes,yes,no,4,4
610252,0,urban,mixed use,intersection,27550,144525000,traditional,signal,x,divided,divided,paved,paved,15,none,no,no,no,yes,0,45,45,no,yes,permitted/protected,permitted,lttr,lttr,yes,yes,yes,no,yes,no,no,4,3
