ACCN,Cur_CRSP2ID_int
111140045,C.69.7.921.001
111150083,C.86.7.120.002
111160036,C.27.4.28.001
111160059,C.27.4.40.007
111170081,C.69.4.68.002
111170083,C.55.4.3.009
111170096,C.56.4.4.003
111180021,C.27.4.158.001
111180076,C.27.4.152.027
111180135,C.13.4.10.012
111180154,C.27.4.3.028
111190033,C.73.4.51.004
111200027,C.24.4.45.006
111210101,C.56.4.88.005
111220003,C.86.4.36.008
111220046,C.25.4.7.025
111240052,C.27.4.81.032
111240053,C.56.4.16.004
111240104,C.55.4.25.005
111250011,C.69.7.945.004
111250016,C.55.4.12.001
111250122,C.69.4.115.003
111250134,C.27.4.25.004
111260085,C.27.4.31.005
111260243,C.55.4.30.007
111260250,C.27.4.19.022
111270012,C.24.4.13.005
111270135,C.25.4.1.030
111280040,C.27.7.202.009
111280095,C.27.4.25.004
111290025,C.73.4.134.005
111290054,C.27.4.152.024
111290101,C.27.4.81.004
111300044,C.73.4.49.001
111310052,C.27.4.110.011
111310057,C.27.4.48.002
111310071,C.55.4.22.014
111310131,C.27.4.152.025
111320059,C.27.4.152.023
111320072,C.27.4.25.004
111320116,C.69.4.5.014
111330101,C.69.4.4.007
111330105,C.27.4.1.026
111330182,C.27.4.130.005
111340082,C.69.4.4.005
111350025,C.55.4.8.011
111350073,C.27.4.112.003
111370094,C.27.4.27.003
111370095,C.55.4.1.018
111370166,C.27.4.112.013
111380011,C.73.4.43.005
111380038,C.27.4.3.016
111390045,C.27.4.9.021
111390083,C.18.4.13.001
111400025,C.27.4.3.022
111400063,C.27.4.1.026
111400155,C.27.4.13.005
111410060,C.27.4.130.007
111410078,C.55.4.1.019
111420012,C.27.4.3.027
111420026,C.73.4.1.027
111420101,C.73.7.111.007
111430017,C.24.4.8.005
111430030,C.27.4.1.023
111430031,C.27.4.37.001
111430035,C.25.4.64.001
111430045,C.27.4.10.020
111430095,C.73.4.81.002
111440036,C.13.4.21.004
111450061,C.55.4.22.002
111470182,C.27.4.12.015
111490059,C.86.7.106.002
111500019,C.73.4.49.008
111500033,C.43.7.76.001
111510051,C.27.4.1.023
111510083,C.04.4.22.001
111510096,C.27.4.9.009
111510152,C.25.4.19.017
111510170,C.18.4.20.001
111510260,C.27.4.84.017
111520067,C.27.4.60.004
111520175,C.13.4.30.003
111520181,C.27.4.30.005
111520183,C.69.4.4.012
111530168,C.25.4.11.006
111540099,C.27.4.24.004
111550137,C.27.4.40.005
111550147,C.86.4.75.008
111550157,C.56.4.41.021
111550164,C.09.4.26.001
111560112,C.09.4.61.027
111560125,C.27.4.12.022
111560154,C.86.4.20.014
111560162,C.69.4.65.009
111570081,C.55.4.22.015
111570200,C.27.4.152.025
111580111,C.27.4.35.002
111580113,C.27.7.47.015
111580175,C.27.4.6.029
111590069,C.27.4.1.023
111590074,C.27.4.101.011
111590134,C.86.4.37.046
111590194,C.27.4.19.001
111600014,C.73.4.12.013
111600016,C.27.7.201.007
111600032,C.49.4.52.018
111600085,C.27.4.10.047
111610009,C.73.4.10.009
111610124,C.27.4.122.001
111610143,C.27.4.66.018
111620018,C.86.4.35.017
111630032,C.13.4.19.003
111630055,C.25.4.5.012
111640031,C.27.4.152.009
111640086,C.27.4.15.034
111650317,C.13.4.8.011
111650324,C.27.4.130.005
111650370,C.27.4.37.001
111650385,C.27.4.50.022
111650399,C.56.4.35.062
111660170,C.27.4.52.001
111660243,C.27.4.152.002
111670185,C.55.4.8.010
111670228,C.27.4.1.010
111680100,C.27.4.30.005
111680132,C.27.4.19.028
111690072,C.69.9.8172.005
111690079,C.25.4.7.031
111690100,C.04.4.9.007
111690167,C.24.4.19.013
111690172,C.27.4.101.009
111700088,C.56.4.41.006
111700109,C.69.4.23.019
111700117,C.27.4.19.016
111710062,C.27.4.152.022
111710114,C.27.4.19.016
111720161,C.55.7.125.007
111720194,C.27.4.3.024
