acc_0615_ForGIS_pt.ACCN,acc_0615_ForGIS_pt.Int_CRSP2ID_int
110900093,I.73.4.75.020
110900121,I.69.4.54.017
110910143,I.86.4.12.044
110910205,I.47.4.34.004
110910226,I.69.4.6.034
110910256,I.73.4.75.050
110910262,I.73.4.4.026
110910264,I.86.4.18.016
110910387,I.69.7.708.001
110920017,I.73.4.136.010
110930032,I.69.4.6.033
110930075,I.69.7.223.005
110940027,I.69.4.4.010
110940052,I.49.4.12.005
110940083,I.69.4.9.038
110940089,I.69.4.14.013
110940110,I.69.4.5.023
110950020,I.73.4.4.027
110960053,I.55.7.112.002
110960072,I.55.4.22.045
110960081,I.86.4.37.067
110960082,I.55.4.22.038
110960114,I.86.4.9.017
110960126,I.55.4.22.024
110960131,I.55.4.22.030
110970002,I.73.4.9.079
110970003,I.73.7.155.008
110970080,I.73.4.75.046
110970093,I.73.4.1.052
110970096,I.86.4.35.041
110970155,I.86.4.39.036
110970173,I.43.4.20.001
110980005,I.73.4.12.026
110980086,I.73.4.13.049
110980095,I.69.4.56.019
110980108,I.86.4.3.031
110980112,I.55.7.133.017
110980146,I.69.4.9.047
110990020,I.55.4.1.001
111000024,I.73.4.72.010
111000051,I.69.4.32.003
111000085,I.69.4.9.050
111010040,I.69.4.34.027
111010165,I.73.4.10.022
111010225,I.69.4.46.009
111010227,I.49.4.43.001
111020028,I.73.4.1.007
111020038,I.73.7.172.001
111020072,I.86.4.8.061
111020118,I.73.4.75.031
111020145,I.56.4.35.075
111020154,I.73.4.81.019
111020166,I.86.4.17.014
111020187,I.55.4.34.001
111020199,I.73.4.81.019
111020201,I.86.4.37.034
111030036,I.55.4.25.025
111030039,I.86.4.5.021
111030041,I.55.4.36.030
111030046,I.55.4.22.037
111030047,I.55.4.22.037
111030048,I.69.4.4.055
111030065,I.55.4.36.031
111030068,I.55.4.22.040
111030099,I.73.4.75.048
111040001,I.86.4.6.021
111040056,I.55.4.22.020
111040083,I.73.4.4.034
111050013,I.69.7.285.001
111050021,I.73.4.75.031
111050058,I.69.4.91.008
111060012,I.73.7.141.003
111060091,I.73.4.75.023
111060107,I.73.4.17.049
111060125,I.56.4.10.016
