ACCN,YEAR,Seg_CRSP2ID_int
110110207,2011,S.86.4.18.001
110110339,2011,S.73.4.1.003
110120149,2011,S.43.4.1.003
110120215,2011,S.73.4.51.001
110120373,2011,S.69.4.21.001
110120383,2011,S.55.7.112.002
110130015,2011,S.69.4.9.002
110130081,2011,S.69.4.34.001
110130109,2011,S.49.4.52.001
110130185,2011,S.86.4.35.005
110130191,2011,S.55.4.14.003
110130241,2011,S.69.4.37.001
110140014,2011,S.73.4.7.002
110140114,2011,S.69.4.100.002
110140147,2011,S.69.4.147.001
110140234,2011,S.56.4.25.001
110140249,2011,S.73.4.4.002
110140286,2011,S.86.4.6.001
110140313,2011,S.69.4.4.001
110140491,2011,S.69.4.37.002
110140534,2011,S.73.4.2.003
110150067,2011,S.69.4.9.002
110150081,2011,S.73.4.7.002
110150175,2011,S.56.4.1.002
110150180,2011,S.86.4.75.003
110150183,2011,S.55.7.146.001
110150190,2011,S.86.7.117.002
110150194,2011,S.69.4.7.006
110150235,2011,S.86.4.75.005
110150239,2011,S.55.4.22.001
110150267,2011,S.86.4.37.007
110150286,2011,S.69.7.234.002
110160025,2011,S.73.7.160.001
110160030,2011,S.73.7.134.002
110160051,2011,S.69.4.54.001
110160052,2011,S.55.4.22.002
110160109,2011,S.55.4.14.003
110160127,2011,S.49.4.76.001
110160150,2011,S.73.4.4.002
110160167,2011,S.73.7.145.002
110160169,2011,S.69.4.100.002
110170013,2011,S.69.4.3.002
110170014,2011,S.86.4.34.001
110170061,2011,S.55.4.34.003
110170088,2011,S.56.4.14.003
110170093,2011,S.73.4.7.002
110170144,2011,S.49.4.76.001
110170189,2011,S.69.4.121.001
110170193,2011,S.73.4.1.002
110170263,2011,S.73.4.4.001
110170271,2011,S.43.4.12.002
110180010,2011,S.49.4.101.001
110180055,2011,S.55.4.21.001
110180095,2011,S.69.4.9.002
110180174,2011,S.69.4.9.001
110180178,2011,S.69.4.7.007
110180191,2011,S.47.4.1.001
110180244,2011,S.86.4.14.001
110180268,2011,S.69.4.56.003
110180271,2011,S.69.4.91.001
110180297,2011,S.49.4.1.005
110180298,2011,S.69.7.697.002
110180307,2011,S.86.4.9.002
110190056,2011,S.69.4.11.002
110190221,2011,S.55.4.21.001
110190224,2011,S.55.4.1.001
110190245,2011,S.69.4.97.001
110190301,2011,S.69.4.100.002
110190339,2011,S.55.4.36.001
110190347,2011,S.43.4.12.002
110190391,2011,S.69.4.63.001
110200006,2011,S.69.4.4.001
110200009,2011,S.69.4.90.001
110200018,2011,S.73.7.141.001
110200095,2011,S.56.7.122.002
110200130,2011,S.56.4.67.005
110200136,2011,S.49.4.28.001
110200160,2011,S.69.4.9.002
110200355,2011,S.69.4.57.001
110210080,2011,S.43.4.8.001
110210343,2011,S.73.4.9.004
110210352,2011,S.73.4.2.002
110210411,2011,S.49.4.26.001
110220108,2011,S.69.4.9.002
110220175,2011,S.69.4.6.003
110220213,2011,S.69.4.98.001
110230176,2011,S.43.4.12.001
110230210,2011,S.73.4.23.001
110230229,2011,S.73.4.7.002
110240253,2011,S.47.4.1.001
110240333,2011,S.73.4.2.001
110250193,2011,S.56.4.25.001
110250204,2011,S.55.4.2.001
110250205,2011,S.69.4.145.001
110260068,2011,S.43.4.1.001
110260137,2011,S.86.4.19.002
110260273,2011,S.55.7.112.001
110260283,2011,S.69.4.91.001
110270157,2011,S.73.4.30.003
110270171,2011,S.73.4.2.001
110270179,2011,S.73.4.138.001
110270208,2011,S.73.4.75.002
